电芯编号,当前放电容量_Q_dis_Ah,库仑效率_CE,能量效率_EE,平均放电电压_V_mean_dis_V,平均电压滞后_V_hysteresis_V,真实可恢复容量_Ah,模型预估恢复容量_Ah,90置信区间下界_Ah,90置信区间上界_Ah
72,0.968077,0.997575,0.917192249320495,3.135094625737416,0.2747607991773124,0.06,0.061233295223994,0.003133295223994,0.119333295223994
Cella,0.967034,0.996801,0.8866991383431359,3.084313478119694,0.3829788040092405,0.09,0.1264286720885089,0.0683286720885089,0.1845286720885089
CellG,0.995958,0.996743,0.8996218089677833,3.109940379011966,0.3357438201369631,0.1,0.1023662963574008,0.0442662963574008,0.1604662963574009
CellJ,1.023314,0.997551,0.9034296563317136,3.1159898134883326,0.3246316954225356,0.1,0.0956889445506075,0.0375889445506075,0.1537889445506076
CellT,1.018881,0.995595,0.8902305469315978,3.0923493518870218,0.3659993307742142,0.1,0.1295254767675338,0.0714254767675338,0.1876254767675338
Cellf,0.994738,0.995436,0.8787828621192134,3.073731977666481,0.4080187295792981,0.14,0.148153008689684,0.090053008689684,0.206253008689684
Cellg2,0.887264,0.996363,0.8882956185747345,3.090621280701121,0.3759986707419971,0.13,0.1074141359962354,0.0493141359962354,0.1655141359962355
Cellh2,0.990799,0.99682,0.8841053639192219,3.0817956013278174,0.3928940494733708,0.17,0.1286469201811506,0.0705469201811506,0.1867469201811507
Cellj2,0.943695,0.996089,0.8774432111930912,3.0699526859843487,0.415109077724999,0.16,0.1394162476805986,0.0813162476805986,0.1975162476805986
Cellk2,0.826599,0.983268,0.8588389173276816,3.0551137855235733,0.4426266937398666,0.17,0.1932512069215453,0.1351512069215453,0.2513512069215453
Celll2,0.728368,0.975993,0.8432395956335249,3.0383556114491577,0.4783364253625657,0.24,0.220302174552504,0.162202174552504,0.278402174552504
Cellm,0.951439,0.993739,0.8784925687663374,3.0762424075531904,0.4035598555793074,0.18,0.1421861087230336,0.0840861087230336,0.2002861087230336
Cello,0.813443,0.990757,0.8693562157456669,3.0618937036768403,0.4275756470914609,0.14,0.1519875991611201,0.0938875991611201,0.2100875991611201
Cellp2,0.85292,0.992168,0.8640406455588217,3.053055386202692,0.4527324142237594,0.21,0.1599935978193628,0.1018935978193627,0.2180935978193627
Cellq2,0.472237,0.943661,0.8171743479281817,3.065606888066797,0.4745166057285388,0.32,0.2900438099929063,0.2319438099929063,0.3481438099929063
Cellr2,0.814221,0.993304,0.8676077406967073,3.05446310031306,0.4425199790686727,0.12,0.1528023594044373,0.0947023594044373,0.2109023594044373
Cells2,0.820088,0.992117,0.8635330970446422,3.050197052023685,0.4541883610640811,0.17,0.1598914033985801,0.1017914033985801,0.21799140339858
Cellu2,0.860936,0.990857,0.8712993009969496,3.06722683219194,0.4208745303651882,0.1,0.1568511993269053,0.0987511993269053,0.2149511993269053
Cell15,0.884744,,33.2436502472304,3.0016241986382504,1.000229323052963,0.25,0.2042669363828705,0.1461669363828704,0.2623669363828705
Cell16,1.131866,,40.2848912928698,3.033434169769213,0.9683030825549488,0.15,0.2125683282162784,0.1544683282162784,0.2706683282162784
CellC11,0.994872,,47.56443822080966,3.038635120899975,0.9634428338887662,0.1,0.067510745653246,0.0094107456532459,0.1256107456532459
CellC14,0.219132,,13.162493517269994,2.895505905116551,1.1065696449042046,0.34,0.4500097924760567,0.3919097924760567,0.5081097924760567
