电芯编号,材料体系,诊断周期节点,循环次数,测试荷电状态_SOC,实测健康状态_SOH_pct,稳态电压_U0_V,充电直流内阻_ohm,放电直流内阻_ohm,倍率敏感内阻差_ohm,极化过电位_V,充放电不对称度,撤载松弛电压_V
LFP_B1_1,LFP,0-50_cycles,50,20,97.5809,3.269578218460083,0.0140505726598217,0.0128327981313822,-0.0026078547822676,-0.0359237194061283,-0.045298431431745,0.0516498088836669
LFP_B1_1,LFP,0-50_cycles,50,50,97.5809,3.311602830886841,0.0138072903510949,0.0124384371822888,-0.0026093410681236,-0.0273101329803471,-0.0521552762088562,0.0537533760070796
LFP_B1_1,LFP,0-50_cycles,50,80,97.5809,3.342287540435791,0.0136423124728292,0.0118940796199191,-0.0026137701878305,-0.023760557174683,-0.0684604483891288,0.0513083934783931
LFP_B1_1,LFP,0-50_cycles,50,95,97.5809,3.339498281478882,0.0125476142641895,0.0110800477708528,-0.0019150203220218,-0.0202584266662588,-0.0621122179232158,0.0473301410675053
LFP_B1_1,LFP,50-100_cycles,100,20,96.1492,3.2684247493743896,0.0136018441440013,0.0128326905372029,-0.0025694981672759,-0.0382499694824218,-0.0290965442015245,0.0453190803527832
LFP_B1_1,LFP,50-100_cycles,100,50,96.1492,3.311094284057617,0.0137009256265575,0.0123852989390661,-0.002550364776182,-0.0284049510955819,-0.0504337714406223,0.0444767475128169
LFP_B1_1,LFP,50-100_cycles,100,80,96.1492,3.3417019844055176,0.0134353760862183,0.01179310774588,-0.0024938572380884,-0.0237867832183842,-0.0650958000991264,0.0422539710998539
LFP_B1_1,LFP,50-100_cycles,100,95,96.1492,3.33897066116333,0.0120767960160891,0.0109999469997823,-0.001881828979482,-0.0215821266174311,-0.0466638214745548,0.0373556613922119
LFP_B1_2,LFP,0-50_cycles,50,20,97.0048,3.26792573928833,0.0139424109725901,0.0128769283126192,-0.0025860865284559,-0.0303800106048584,-0.0397281472388287,0.0512218475341788
LFP_B1_2,LFP,0-50_cycles,50,50,97.0048,3.3111472129821777,0.013729964084527,0.0124177001751948,-0.0026015308765823,-0.0271496772766122,-0.0501866589802292,0.0533592700958251
LFP_B1_2,LFP,0-50_cycles,50,80,97.0048,3.34231185913086,0.0135488764776403,0.01192240275909,-0.0026468840936703,-0.022788763046265,-0.0638552034797225,0.0507094860076899
LFP_B1_2,LFP,0-50_cycles,50,95,97.0048,3.3394646644592285,0.0123655204570618,0.0110782213812843,-0.0019071560474309,-0.0076603889465327,-0.0549101369846982,0.0479366779327392
LFP_B1_2,LFP,50-100_cycles,100,20,95.5899,3.2667336463928223,0.0130548704759934,0.0123606058954594,-0.0024189601251176,-0.0263643264770498,-0.0273166070305823,0.0499670505523681
LFP_B1_2,LFP,50-100_cycles,100,50,95.5899,3.310821056365967,0.0128728060572607,0.0119824450890975,-0.0024508864310724,-0.0269267559051509,-0.0358218455697884,0.0490679740905757
LFP_B1_2,LFP,50-100_cycles,100,80,95.5899,3.341447114944458,0.0128119244286386,0.0114611314883776,-0.0025214638174204,-0.0219841003417968,-0.0556498919987272,0.045226097106934
LFP_B1_2,LFP,50-100_cycles,100,95,95.5899,3.338562488555908,0.0115440527877766,0.0104810321275409,-0.0017361023508164,-0.0112617015838627,-0.0482640890749237,0.041245460510253
LFP_C2_1,LFP,0-50_cycles,50,20,96.7638,3.252374649047852,0.0140961694120579,0.013015201583091,-0.0027136860523196,-0.0364279747009281,-0.0398713819806584,0.0489165782928471
LFP_C2_1,LFP,0-50_cycles,50,50,96.7638,3.3100924491882324,0.0140703654948027,0.0091726638487319,0.0006090659186516,-0.0228590965270991,-0.2107170099767214,0.0517973899841299
LFP_C2_1,LFP,0-50_cycles,50,80,96.7638,3.342280864715576,0.0143384766945249,0.0122144087821725,-0.0027281448144599,-0.0249528884887699,-0.0799938641025084,0.0500516891479492
LFP_C2_1,LFP,0-50_cycles,50,95,96.7638,3.340132474899292,0.013105327429569,0.0114648070622596,-0.0028971234786303,-0.019458532333374,-0.0667688802377114,0.0448372364044189
LFP_C2_1,LFP,50-100_cycles,100,20,95.9453,3.2616982460021973,0.012903735534435,0.0121356443098311,-0.0022946417196215,-0.034562349319458,-0.0306753293963789,0.0480892658233638
LFP_C2_1,LFP,50-100_cycles,100,50,95.9453,3.310608148574829,0.0128745403723313,0.0117675402545284,-0.0024265131237515,-0.0265412330627436,-0.0449231594752714,0.0472350120544442
LFP_C2_1,LFP,50-100_cycles,100,80,95.9453,3.34135365486145,0.0125375505899387,0.011211956703312,-0.0024448375483394,-0.0228796005249019,-0.0558156373628624,0.0453822612762451
LFP_C2_1,LFP,50-100_cycles,100,95,95.9453,3.338999032974243,0.0116257158760168,0.0103121975078546,-0.0017935445148409,-0.0195240974426269,-0.0598743529148874,0.0422232151031498
LFP_C2_2,LFP,0-50_cycles,50,20,96.4595,3.258342981338501,0.0139743581174623,0.0129326322201156,-0.0026743012131846,-0.031456708908081,-0.0387158089506539,0.0494263172149658
LFP_C2_2,LFP,0-50_cycles,50,50,96.4595,3.3105275630950928,0.0141410546428837,0.0125504697223729,-0.002722602398611,-0.027869701385498,-0.0595913855928443,0.0556683540344229
LFP_C2_2,LFP,0-50_cycles,50,80,96.4595,3.342337846755981,0.0142547833537642,0.0121536964837327,-0.0026355664410284,-0.0250027179718022,-0.0795610683750193,0.0502092838287357
LFP_C2_2,LFP,0-50_cycles,50,95,96.4595,3.340072631835937,0.0130594568355543,0.0114066460500579,-0.0020756743186764,-0.021695852279663,-0.0675551309999757,0.0460882186889648
LFP_C2_2,LFP,50-100_cycles,100,20,94.6379,3.259941577911377,0.0127714225617199,0.0120442431283894,-0.00224309464294,-0.0351419448852539,-0.0293032410418207,0.0468039512634281
LFP_C2_2,LFP,50-100_cycles,100,50,94.6379,3.310299873352051,0.0128113668044664,0.011745519546802,-0.002364474981005,-0.026565551757812,-0.0434031921807317,0.0468850135803218
LFP_C2_2,LFP,50-100_cycles,100,80,94.6379,3.341408491134644,0.0125196383508318,0.011192386564682,-0.0023561077089502,-0.0196146965026859,-0.0559737850680735,0.0440809726715092
LFP_C2_2,LFP,50-100_cycles,100,95,94.6379,3.3389687538146973,0.0116028963868955,0.010293700480589,-0.0017316667533193,-0.0195519924163818,-0.0597899259976127,0.0426058769226069
LFP_D1_1,LFP,0-50_cycles,50,20,93.8675,3.2685887813568115,0.0130574139170975,0.0124574293152173,-0.0024215046657509,-0.0367505550384521,-0.0235151200584415,0.0524230003356929
LFP_D1_1,LFP,0-50_cycles,50,50,93.8675,3.311176061630249,0.0135666380780491,0.0125333608373343,-0.0026758289370555,-0.0258679389953608,-0.0395891679560862,0.0491344928741459
LFP_D1_1,LFP,0-50_cycles,50,80,93.8675,3.3415780067443848,0.0138917807058676,0.0120926106749038,-0.0025298496318709,-0.0173380374908447,-0.0692404145472968,0.0587954521179199
LFP_D1_1,LFP,0-50_cycles,50,95,93.8675,3.3385467529296875,0.01278412141412,0.0114369576788067,-0.0020034991318098,-0.0202765464782723,-0.0556194763307133,0.057457685470581
LFP_D1_1,LFP,50-100_cycles,100,20,92.6059,3.271929979324341,0.0126526685541205,0.0120997462241435,-0.0022968321764778,-0.0285398960113529,-0.0223381167021536,0.0492255687713623
LFP_D1_1,LFP,50-100_cycles,100,50,92.6059,3.311300039291382,0.0128662073830452,0.0121233129361902,-0.0025372663816331,-0.0268039703369136,-0.0297282395726198,0.0456466674804691
LFP_D1_1,LFP,50-100_cycles,100,80,92.6059,3.3412182331085205,0.0128002480164007,0.0115954892474471,-0.0024912984413576,-0.0230357646942138,-0.0493839868794982,0.0460450649261483
LFP_D1_1,LFP,50-100_cycles,100,95,92.6059,3.33919095993042,0.0120620727427905,0.0108210710762161,-0.0018298135568421,-0.0174312591552729,-0.0542321315807859,0.0492138862609872
LFP_D1_2,LFP,0-50_cycles,50,20,94.5436,3.265211343765259,0.0133903293174787,0.0126994449091685,-0.0024445844568261,-0.036906242370605,-0.0264810420476748,0.0529935359954829
LFP_D1_2,LFP,0-50_cycles,50,50,94.5436,3.310544490814209,0.0137225725968133,0.0123853394837369,-0.0025752026205913,-0.0226435661315917,-0.0512194582604185,0.053210973739624
LFP_D1_2,LFP,0-50_cycles,50,80,94.5436,3.341493844985962,0.0138792614609209,0.0120350983822619,-0.0026482040901958,-0.0243232250213618,-0.0711637520594235,0.0502970218658438
LFP_D1_2,LFP,0-50_cycles,50,95,94.5436,3.338274955749512,0.0124601738969108,0.0111527190380162,-0.0018329971159056,-0.0201990604400625,-0.0553703801773751,0.0464181900024409
LFP_D1_2,LFP,50-100_cycles,100,20,93.2761,3.266838312149048,0.012454006333497,0.0118118554584644,-0.002146355075659,-0.0330097675323481,-0.0264631390608753,0.0474288463592529
LFP_D1_2,LFP,50-100_cycles,100,50,93.2761,3.3107988834381104,0.0122925845487587,0.0117419986432887,-0.0024245131169299,-0.0245261192321781,-0.0229080696374285,0.0469419956207279
LFP_D1_2,LFP,50-100_cycles,100,80,93.2761,3.341182231903076,0.0123937576002433,0.0114206418014492,-0.0025231031645354,-0.022529125213623,-0.0408624959370151,0.0462927818298339
LFP_D1_2,LFP,50-100_cycles,100,95,93.2761,3.338956117630005,0.0117366889529372,0.010546567943746,-0.0018018384356696,-0.0193488597869868,-0.0534087550446131,0.047596931457519
LFP_D2_1,LFP,0-50_cycles,50,20,97.1107,3.262082576751709,0.0149145180390154,0.0136635598916965,-0.0028614028523792,-0.026781558990478,-0.0437733478910621,0.0622115135192871
LFP_D2_1,LFP,0-50_cycles,50,50,97.1107,3.310811996459961,0.0149091408247685,0.0130586322770682,-0.0028795536163711,-0.0300178527832026,-0.0661657451582657,0.0488760471343994
LFP_D2_1,LFP,0-50_cycles,50,80,97.1107,3.3424229621887207,0.0148498801225191,0.0124564176293616,-0.0027263597405668,-0.0266706943511958,-0.0876523985384512,0.0475397109985351
LFP_D2_1,LFP,0-50_cycles,50,95,97.1107,3.339376211166382,0.0132087924600516,0.0117471376459738,-0.0022119688345782,-0.0235815048217777,-0.0585694385209425,0.0419061183929438
