电芯编号,材料体系,标称容量_Ah,测试荷电状态_SOC,稳态电压_U0_V,充电内阻_Rdc_chg_ohm,放电内阻_Rdc_dis_ohm,倍率敏感内阻差_dRdc_ohm,持续极化电压_eta_V,充放电不对称度_asym,撤载松弛电压_relax_V,当前放电容量_Q_dis_Ah,库仑效率_CE,能量效率_EE,平均放电电压_V_mean_dis_V,平均电压滞后_V_hyst_V,参考实测SOH_pct,参考恢复容量_Ah
BAT-2026-RET-001,磷酸铁锂(LFP),35.0,50,3.31,0.013499,0.014286,-0.00259,-0.0257,0.0283,0.0483,27.674,0.9749,0.9006,3.2217,0.1377,79.07,1.59
BAT-2026-RET-002,磷酸铁锂(LFP),35.0,50,3.3206,0.011117,0.011797,-0.00311,-0.0279,0.0297,0.0486,29.135,0.9776,0.9069,3.2157,0.1358,83.24,3.233
BAT-2026-RET-003,磷酸铁锂(LFP),35.0,50,3.2914,0.016488,0.016016,-0.003892,-0.0329,-0.0145,0.0485,22.369,0.969,0.8911,3.2161,0.1664,63.91,3.488
BAT-2026-RET-004,磷酸铁锂(LFP),35.0,50,3.3323,0.013044,0.013737,-0.002551,-0.0243,0.0259,0.0435,29.591,0.9779,0.9002,3.2235,0.1349,84.55,3.814
BAT-2026-RET-005,磷酸铁锂(LFP),35.0,50,3.2999,0.013308,0.01428,-0.003232,-0.0255,0.0352,0.0482,27.181,0.9787,0.9059,3.2245,0.1418,77.66,2.452
BAT-2026-RET-006,磷酸铁锂(LFP),35.0,50,3.3176,0.012093,0.012441,-0.002525,-0.0219,0.0142,0.0436,29.616,0.9819,0.9095,3.2243,0.1414,84.62,4.146
BAT-2026-RET-007,磷酸铁锂(LFP),35.0,50,3.3117,0.0116,0.012554,-0.003045,-0.0306,0.0395,0.0496,25.96,0.9774,0.8994,3.2192,0.139,74.17,3.175
BAT-2026-RET-008,磷酸铁锂(LFP),35.0,50,3.3128,0.012311,0.013017,-0.002658,-0.0249,0.0279,0.0431,28.47,0.9791,0.9056,3.2385,0.1368,81.34,3.046
BAT-2026-RET-009,磷酸铁锂(LFP),35.0,50,3.2919,0.014255,0.015476,-0.003377,-0.034,0.0411,0.0483,24.812,0.9722,0.8953,3.2271,0.1536,70.89,4.084
BAT-2026-RET-010,磷酸铁锂(LFP),35.0,50,3.2735,0.020501,0.019062,-0.004781,-0.0333,-0.0364,0.0512,19.563,0.9747,0.8838,3.2166,0.1726,55.89,4.061
BAT-2026-RET-011,磷酸铁锂(LFP),35.0,50,3.3228,0.013048,0.01333,-0.003022,-0.0217,0.0107,0.0479,29.755,0.9764,0.9084,3.2261,0.1454,85.01,4.239
BAT-2026-RET-012,磷酸铁锂(LFP),35.0,50,3.3156,0.012289,0.012851,-0.003192,-0.0243,0.0224,0.0416,28.888,0.9827,0.9021,3.2263,0.1475,82.54,2.339
BAT-2026-RET-013,磷酸铁锂(LFP),35.0,50,3.3138,0.012086,0.012927,-0.003115,-0.0299,0.0336,0.0494,26.807,0.9795,0.8969,3.2321,0.1578,76.59,3.733
BAT-2026-RET-014,磷酸铁锂(LFP),35.0,50,3.3161,0.012588,0.012213,-0.003243,-0.024,-0.0151,0.0415,28.804,0.9803,0.9116,3.2212,0.149,82.3,3.504
BAT-2026-RET-015,磷酸铁锂(LFP),35.0,50,3.3244,0.012543,0.013032,-0.003123,-0.0236,0.0191,0.0438,28.722,0.9815,0.9083,3.2566,0.1423,82.06,2.246
BAT-2026-RET-016,磷酸铁锂(LFP),35.0,50,3.299,0.014255,0.015429,-0.003612,-0.0268,0.0396,0.0458,25.964,0.9768,0.9017,3.2238,0.1442,74.18,2.666
BAT-2026-RET-017,磷酸铁锂(LFP),35.0,50,3.3028,0.016582,0.015501,-0.003854,-0.0276,-0.0337,0.0527,24.637,0.9738,0.8923,3.2328,0.1559,70.39,4.576
